Ataques,Year,Epoca,Month,Estacion,Country,Sex,Type,Activity,Injury,Mortal
0,2016,1980-Actualidad,9,Verano,USA,M,Unprovoked,Surfing,Minor injury,N
1,2016,1980-Actualidad,9,Verano,USA,M,Unprovoked,Surfing,Laceraciones,N
2,2016,1980-Actualidad,9,Verano,USA,M,Unprovoked,Surfing,Laceraciones,N
3,2016,1980-Actualidad,9,Verano,AUSTRALIA,M,Unprovoked,Surfing,Varios,N
4,2016,1980-Actualidad,9,Verano,AUSTRALIA,M,Unprovoked,Surfing,No injury,N
5,2016,1980-Actualidad,9,Verano,AUSTRALIA,UNKNOWN,Boat,Fishing,No injury,N
6,2016,1980-Actualidad,9,Verano,USA,M,Unprovoked,Bathing,Minor injury,N
7,2016,1980-Actualidad,9,Verano,USA,F,Unprovoked,Swimming,Varios,N
8,2016,1980-Actualidad,9,Verano,NEW CALEDONIA,M,Unprovoked,Surfing,Mortal,Y
9,2016,1980-Actualidad,9,Verano,USA,F,Unprovoked,Boogie boarding,Laceraciones,N
10,2016,1980-Actualidad,9,Verano,AUSTRALIA,M,Unprovoked,Surfing,Varios,N
11,2016,1980-Actualidad,9,Verano,USA,M,Unprovoked,Surfing,Bitten,N
12,2016,1980-Actualidad,9,Verano,USA,M,Unprovoked,Fishing,Laceraciones,N
13,2016,1980-Actualidad,8,Verano,USA,M,Unprovoked,Surfing,Laceraciones,N
14,2016,1980-Actualidad,8,Verano,USA,M,Unprovoked,Surfing,Minor injury,N
15,2016,1980-Actualidad,8,Verano,REUNION,M,Unprovoked,Surfing,Bitten,N
16,2016,1980-Actualidad,8,Verano,USA,M,Unprovoked,Bathing,Minor injury,N
17,2016,1980-Actualidad,8,Verano,BAHAMAS,M,Unprovoked,Bathing,Laceraciones,N
18,2016,1980-Actualidad,8,Verano,USA,M,Unprovoked,SUP Foil boarding,Varios,N
19,2016,1980-Actualidad,8,Verano,USA,M,Unprovoked,Surfing,Bitten,N
20,2016,1980-Actualidad,7,Verano,SPAIN,M,Unprovoked,Swimming,Laceraciones,N
21,2016,1980-Actualidad,7,Verano,CHINA,M,Unprovoked,Swimming,Laceraciones,N
22,2016,1980-Actualidad,7,Verano,AUSTRALIA,M,Boat,Kayaking,No injury,N
23,2016,1980-Actualidad,7,Verano,USA,M,Provoked,Lobstering,Varios,N
24,2016,1980-Actualidad,7,Verano,AUSTRALIA,M,Unprovoked,Surfing,No injury,N
25,2016,1980-Actualidad,7,Verano,JAPAN,M,Unprovoked,Surfing,Laceraciones,N
26,2016,1980-Actualidad,7,Verano,AUSTRALIA,M,Unprovoked,Surfing,Varios,N
27,2016,1980-Actualidad,7,Verano,BAHAMAS,M,Unprovoked,Fishing,Laceraciones,N
28,2016,1980-Actualidad,7,Verano,AUSTRALIA,M,Provoked,Fishing,Varios,N
29,2016,1980-Actualidad,7,Verano,USA,UNKNOWN,Boat,Fishing,No injury,N
30,2016,1980-Actualidad,7,Verano,USA,F,Unprovoked,Surfing,Minor injury,N
31,2016,1980-Actualidad,7,Verano,USA,F,Unprovoked,Sin datos,Minor injury,N
32,2016,1980-Actualidad,7,Verano,USA,M,Unprovoked,Swimming,Varios,N
33,2016,1980-Actualidad,7,Verano,BAHAMAS,M,Unprovoked,Scuba Diving,Varios,N
34,2016,1980-Actualidad,7,Verano,SPAIN,F,Unprovoked,Bathing,Varios,N
35,2016,1980-Actualidad,7,Verano,USA,M,Boat,Fishing,No injury,N
36,2016,1980-Actualidad,7,Verano,USA,M,Provoked,Fishing,Varios,N
37,2016,1980-Actualidad,7,Verano,USA,M,Boat,Fishing,No injury,N
38,2016,1980-Actualidad,7,Verano,USA,F,Unprovoked,Swimming,Varios,N
39,2016,1980-Actualidad,7,Verano,AUSTRALIA,M,Provoked,Fishing,Varios,N
40,2016,1980-Actualidad,6,Primavera,USA,M,Unprovoked,Sin datos,Minor injury,N
